"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-01-19,"Monday","Morning","","","Aria","","","","","","","",""
2026-01-19,"Monday","Morning","","","Aurora","","","","","","","",""
2026-01-19,"Monday","Morning","","","LB","","","","","","","",""
2026-01-19,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-01-19,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-01-19,"Monday","Afternoon","","","LB","","","","","","","",""
2026-01-20,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-01-20,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-01-20,"Tuesday","Morning","","","LB","","","","","","","",""
2026-01-20,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-01-20,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-20,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-01-21,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-01-21,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-01-21,"Wednesday","Morning","","","LB","","","","","","","",""
2026-01-21,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-01-21,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-21,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-01-22,"Thursday","Morning","","","Aria","","","","","","","",""
2026-01-22,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-01-22,"Thursday","Morning","","","LB","","","","","","","",""
2026-01-22,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-01-22,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-01-22,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-01-23,"Friday","Morning","","","Aria","","","","","","","",""
2026-01-23,"Friday","Morning","","","Aurora","","","","","","","",""
2026-01-23,"Friday","Morning","","","LB","","","","","","","",""
2026-01-23,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-01-23,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-01-23,"Friday","Afternoon","","","LB","","","","","","","",""
