"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-11-03,"Monday","Morning","","","Aria","","","","","","","",""
2025-11-03,"Monday","Morning","","","Aurora","","","","","","","",""
2025-11-03,"Monday","Morning","","","LB","","","","","","","",""
2025-11-03,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-11-03,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-11-03,"Monday","Afternoon","","","LB","","","","","","","",""
2025-11-04,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-11-04,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-11-04,"Tuesday","Morning","","","LB","","","","","","","",""
2025-11-04,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-11-04,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-04,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-11-05,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-11-05,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-11-05,"Wednesday","Morning","","","LB","","","","","","","",""
2025-11-05,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-11-05,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-05,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-11-06,"Thursday","Morning","","","Aria","","","","","","","",""
2025-11-06,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-11-06,"Thursday","Morning","","","LB","","","","","","","",""
2025-11-06,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-11-06,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-11-06,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-11-07,"Friday","Morning","","","Aria","","","","","","","",""
2025-11-07,"Friday","Morning","","","Aurora","","","","","","","",""
2025-11-07,"Friday","Morning","","","LB","","","","","","","",""
2025-11-07,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-11-07,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-11-07,"Friday","Afternoon","","","LB","","","","","","","",""
