"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-04-27,"Monday","Morning","","","Aria","","","","","","","",""
2026-04-27,"Monday","Morning","","","Aurora","","","","","","","",""
2026-04-27,"Monday","Morning","","","LB","","","","","","","",""
2026-04-27,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-04-27,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-04-27,"Monday","Afternoon","","","LB","","","","","","","",""
2026-04-28,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-04-28,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-04-28,"Tuesday","Morning","","","LB","","","","","","","",""
2026-04-28,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-04-28,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-28,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-04-29,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-04-29,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-04-29,"Wednesday","Morning","","","LB","","","","","","","",""
2026-04-29,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-04-29,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-29,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-04-30,"Thursday","Morning","","","Aria","","","","","","","",""
2026-04-30,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-04-30,"Thursday","Morning","","","LB","","","","","","","",""
2026-04-30,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-04-30,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-04-30,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-05-01,"Friday","Morning","","","Aria","","","","","","","",""
2026-05-01,"Friday","Morning","","","Aurora","","","","","","","",""
2026-05-01,"Friday","Morning","","","LB","","","","","","","",""
2026-05-01,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-05-01,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-05-01,"Friday","Afternoon","","","LB","","","","","","","",""
