"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-12-08,"Monday","Morning","","","Aria","","","","","","","",""
2025-12-08,"Monday","Morning","","","Aurora","","","","","","","",""
2025-12-08,"Monday","Morning","","","LB","","","","","","","",""
2025-12-08,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-12-08,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-12-08,"Monday","Afternoon","","","LB","","","","","","","",""
2025-12-09,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-12-09,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-12-09,"Tuesday","Morning","","","LB","","","","","","","",""
2025-12-09,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-12-09,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-09,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-12-10,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-12-10,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-12-10,"Wednesday","Morning","","","LB","","","","","","","",""
2025-12-10,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-12-10,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-10,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-12-11,"Thursday","Morning","","","Aria","","","","","","","",""
2025-12-11,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-12-11,"Thursday","Morning","","","LB","","","","","","","",""
2025-12-11,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-12-11,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-12-11,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-12-12,"Friday","Morning","","","Aria","","","","","","","",""
2025-12-12,"Friday","Morning","","","Aurora","","","","","","","",""
2025-12-12,"Friday","Morning","","","LB","","","","","","","",""
2025-12-12,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-12-12,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-12-12,"Friday","Afternoon","","","LB","","","","","","","",""
