"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-12-01,"Monday","Morning","","","Aria","","","","","","","",""
2025-12-01,"Monday","Morning","","","Aurora","","","","","","","",""
2025-12-01,"Monday","Morning","","","LB","","","","","","","",""
2025-12-01,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-12-01,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-12-01,"Monday","Afternoon","","","LB","","","","","","","",""
2025-12-02,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-12-02,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-12-02,"Tuesday","Morning","","","LB","","","","","","","",""
2025-12-02,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-12-02,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-02,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-12-03,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-12-03,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-12-03,"Wednesday","Morning","","","LB","","","","","","","",""
2025-12-03,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-12-03,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-03,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-12-04,"Thursday","Morning","","","Aria","","","","","","","",""
2025-12-04,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-12-04,"Thursday","Morning","","","LB","","","","","","","",""
2025-12-04,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-12-04,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-12-04,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-12-05,"Friday","Morning","","","Aria","","","","","","","",""
2025-12-05,"Friday","Morning","","","Aurora","","","","","","","",""
2025-12-05,"Friday","Morning","","","LB","","","","","","","",""
2025-12-05,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-12-05,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-12-05,"Friday","Afternoon","","","LB","","","","","","","",""
