"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-11-24,"Monday","Morning","","","Aria","","","","","","","",""
2025-11-24,"Monday","Morning","","","Aurora","","","","","","","",""
2025-11-24,"Monday","Morning","","","LB","","","","","","","",""
2025-11-24,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-11-24,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-11-24,"Monday","Afternoon","","","LB","","","","","","","",""
2025-11-25,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-11-25,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-11-25,"Tuesday","Morning","","","LB","","","","","","","",""
2025-11-25,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-11-25,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-25,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-11-26,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-11-26,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-11-26,"Wednesday","Morning","","","LB","","","","","","","",""
2025-11-26,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-11-26,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-26,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-11-27,"Thursday","Morning","","","Aria","","","","","","","",""
2025-11-27,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-11-27,"Thursday","Morning","","","LB","","","","","","","",""
2025-11-27,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-11-27,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-11-27,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-11-28,"Friday","Morning","","","Aria","","","","","","","",""
2025-11-28,"Friday","Morning","","","Aurora","","","","","","","",""
2025-11-28,"Friday","Morning","","","LB","","","","","","","",""
2025-11-28,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-11-28,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-11-28,"Friday","Afternoon","","","LB","","","","","","","",""
