"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-10-13,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-10-13,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-10-13,"Monday","Afternoon","","","LB","","","","","","","",""
2025-10-13,"Monday","Morning","","","Aria","","","","","","","",""
2025-10-13,"Monday","Morning","","","Aurora","","","","","","","",""
2025-10-13,"Monday","Morning","","","LB","","","","","","","",""
2025-10-14,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-10-14,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-10-14,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-10-14,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-10-14,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-10-14,"Tuesday","Morning","","","LB","","","","","","","",""
2025-10-15,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-10-15,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-10-15,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-10-15,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-10-15,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-10-15,"Wednesday","Morning","","","LB","","","","","","","",""
2025-10-16,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-10-16,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-10-16,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-10-16,"Thursday","Morning","","","Aria","","","","","","","",""
2025-10-16,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-10-16,"Thursday","Morning","","","LB","","","","","","","",""
2025-10-17,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-10-17,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-10-17,"Friday","Afternoon","","","LB","","","","","","","",""
2025-10-17,"Friday","Morning","","","Aria","","","","","","","",""
2025-10-17,"Friday","Morning","","","Aurora","","","","","","","",""
2025-10-17,"Friday","Morning","","","LB","","","","","","","",""
