"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-12-29,"Monday","Morning","","","Aria","","","","","","","",""
2025-12-29,"Monday","Morning","","","Aurora","","","","","","","",""
2025-12-29,"Monday","Morning","","","LB","","","","","","","",""
2025-12-29,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-12-29,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-12-29,"Monday","Afternoon","","","LB","","","","","","","",""
2025-12-30,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-12-30,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-12-30,"Tuesday","Morning","","","LB","","","","","","","",""
2025-12-30,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-12-30,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-30,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-12-31,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-12-31,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-12-31,"Wednesday","Morning","","","LB","","","","","","","",""
2025-12-31,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-12-31,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-31,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-01-01,"Thursday","Morning","","","Aria","","","","","","","",""
2026-01-01,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-01-01,"Thursday","Morning","","","LB","","","","","","","",""
2026-01-01,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-01-01,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-01-01,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-01-02,"Friday","Morning","","","Aria","","","","","","","",""
2026-01-02,"Friday","Morning","","","Aurora","","","","","","","",""
2026-01-02,"Friday","Morning","","","LB","","","","","","","",""
2026-01-02,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-01-02,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-01-02,"Friday","Afternoon","","","LB","","","","","","","",""
