"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-03-23,"Monday","Morning","","","Aria","","","","","","","",""
2026-03-23,"Monday","Morning","","","Aurora","","","","","","","",""
2026-03-23,"Monday","Morning","","","LB","","","","","","","",""
2026-03-23,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-03-23,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-03-23,"Monday","Afternoon","","","LB","","","","","","","",""
2026-03-24,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-03-24,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-03-24,"Tuesday","Morning","","","LB","","","","","","","",""
2026-03-24,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-03-24,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-03-24,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-03-25,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-03-25,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-03-25,"Wednesday","Morning","","","LB","","","","","","","",""
2026-03-25,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-03-25,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-03-25,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-03-26,"Thursday","Morning","","","Aria","","","","","","","",""
2026-03-26,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-03-26,"Thursday","Morning","","","LB","","","","","","","",""
2026-03-26,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-03-26,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-03-26,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-03-27,"Friday","Morning","","","Aria","","","","","","","",""
2026-03-27,"Friday","Morning","","","Aurora","","","","","","","",""
2026-03-27,"Friday","Morning","","","LB","","","","","","","",""
2026-03-27,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-03-27,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-03-27,"Friday","Afternoon","","","LB","","","","","","","",""
