"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-02-16,"Monday","Morning","","","Aria","","","","","","","",""
2026-02-16,"Monday","Morning","","","Aurora","","","","","","","",""
2026-02-16,"Monday","Morning","","","LB","","","","","","","",""
2026-02-16,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-02-16,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-02-16,"Monday","Afternoon","","","LB","","","","","","","",""
2026-02-17,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-02-17,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-02-17,"Tuesday","Morning","","","LB","","","","","","","",""
2026-02-17,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-02-17,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-02-17,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-02-18,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-02-18,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-02-18,"Wednesday","Morning","","","LB","","","","","","","",""
2026-02-18,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-02-18,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-02-18,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-02-19,"Thursday","Morning","","","Aria","","","","","","","",""
2026-02-19,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-02-19,"Thursday","Morning","","","LB","","","","","","","",""
2026-02-19,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-02-19,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-02-19,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-02-20,"Friday","Morning","","","Aria","","","","","","","",""
2026-02-20,"Friday","Morning","","","Aurora","","","","","","","",""
2026-02-20,"Friday","Morning","","","LB","","","","","","","",""
2026-02-20,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-02-20,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-02-20,"Friday","Afternoon","","","LB","","","","","","","",""
