"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-11-10,"Monday","Morning","","","Aria","","","","","","","",""
2025-11-10,"Monday","Morning","","","Aurora","","","","","","","",""
2025-11-10,"Monday","Morning","","","LB","","","","","","","",""
2025-11-10,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-11-10,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-11-10,"Monday","Afternoon","","","LB","","","","","","","",""
2025-11-11,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-11-11,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-11-11,"Tuesday","Morning","","","LB","","","","","","","",""
2025-11-11,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-11-11,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-11,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-11-12,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-11-12,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-11-12,"Wednesday","Morning","","","LB","","","","","","","",""
2025-11-12,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-11-12,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-12,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-11-13,"Thursday","Morning","","","Aria","","","","","","","",""
2025-11-13,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-11-13,"Thursday","Morning","","","LB","","","","","","","",""
2025-11-13,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-11-13,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-11-13,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-11-14,"Friday","Morning","","","Aria","","","","","","","",""
2025-11-14,"Friday","Morning","","","Aurora","","","","","","","",""
2025-11-14,"Friday","Morning","","","LB","","","","","","","",""
2025-11-14,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-11-14,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-11-14,"Friday","Afternoon","","","LB","","","","","","","",""
