"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-04-20,"Monday","Morning","","","Aria","","","","","","","",""
2026-04-20,"Monday","Morning","","","Aurora","","","","","","","",""
2026-04-20,"Monday","Morning","","","LB","","","","","","","",""
2026-04-20,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-04-20,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-04-20,"Monday","Afternoon","","","LB","","","","","","","",""
2026-04-21,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-04-21,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-04-21,"Tuesday","Morning","","","LB","","","","","","","",""
2026-04-21,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-04-21,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-21,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-04-22,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-04-22,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-04-22,"Wednesday","Morning","","","LB","","","","","","","",""
2026-04-22,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-04-22,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-22,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-04-23,"Thursday","Morning","","","Aria","","","","","","","",""
2026-04-23,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-04-23,"Thursday","Morning","","","LB","","","","","","","",""
2026-04-23,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-04-23,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-04-23,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-04-24,"Friday","Morning","","","Aria","","","","","","","",""
2026-04-24,"Friday","Morning","","","Aurora","","","","","","","",""
2026-04-24,"Friday","Morning","","","LB","","","","","","","",""
2026-04-24,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-04-24,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-04-24,"Friday","Afternoon","","","LB","","","","","","","",""
