"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-03-30,"Monday","Morning","","","Aria","","","","","","","",""
2026-03-30,"Monday","Morning","","","Aurora","","","","","","","",""
2026-03-30,"Monday","Morning","","","LB","","","","","","","",""
2026-03-30,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-03-30,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-03-30,"Monday","Afternoon","","","LB","","","","","","","",""
2026-03-31,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-03-31,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-03-31,"Tuesday","Morning","","","LB","","","","","","","",""
2026-03-31,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-03-31,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-03-31,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-04-01,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-04-01,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-04-01,"Wednesday","Morning","","","LB","","","","","","","",""
2026-04-01,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-04-01,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-01,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-04-02,"Thursday","Morning","","","Aria","","","","","","","",""
2026-04-02,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-04-02,"Thursday","Morning","","","LB","","","","","","","",""
2026-04-02,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-04-02,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-04-02,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-04-03,"Friday","Morning","","","Aria","","","","","","","",""
2026-04-03,"Friday","Morning","","","Aurora","","","","","","","",""
2026-04-03,"Friday","Morning","","","LB","","","","","","","",""
2026-04-03,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-04-03,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-04-03,"Friday","Afternoon","","","LB","","","","","","","",""
