"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-01-12,"Monday","Morning","","","Aria","","","","","","","",""
2026-01-12,"Monday","Morning","","","Aurora","","","","","","","",""
2026-01-12,"Monday","Morning","","","LB","","","","","","","",""
2026-01-12,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-01-12,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-01-12,"Monday","Afternoon","","","LB","","","","","","","",""
2026-01-13,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-01-13,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-01-13,"Tuesday","Morning","","","LB","","","","","","","",""
2026-01-13,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-01-13,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-13,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-01-14,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-01-14,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-01-14,"Wednesday","Morning","","","LB","","","","","","","",""
2026-01-14,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-01-14,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-14,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-01-15,"Thursday","Morning","","","Aria","","","","","","","",""
2026-01-15,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-01-15,"Thursday","Morning","","","LB","","","","","","","",""
2026-01-15,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-01-15,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-01-15,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-01-16,"Friday","Morning","","","Aria","","","","","","","",""
2026-01-16,"Friday","Morning","","","Aurora","","","","","","","",""
2026-01-16,"Friday","Morning","","","LB","","","","","","","",""
2026-01-16,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-01-16,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-01-16,"Friday","Afternoon","","","LB","","","","","","","",""
