"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-10-20,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-10-20,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-10-20,"Monday","Afternoon","","","LB","","","","","","","",""
2025-10-20,"Monday","Morning","","","Aria","","","","","","","",""
2025-10-20,"Monday","Morning","","","Aurora","","","","","","","",""
2025-10-20,"Monday","Morning","","","LB","","","","","","","",""
2025-10-21,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-10-21,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-10-21,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-10-21,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-10-21,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-10-21,"Tuesday","Morning","","","LB","","","","","","","",""
2025-10-22,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-10-22,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-10-22,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-10-22,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-10-22,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-10-22,"Wednesday","Morning","","","LB","","","","","","","",""
2025-10-23,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-10-23,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-10-23,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-10-23,"Thursday","Morning","","","Aria","","","","","","","",""
2025-10-23,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-10-23,"Thursday","Morning","","","LB","","","","","","","",""
2025-10-24,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-10-24,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-10-24,"Friday","Afternoon","","","LB","","","","","","","",""
2025-10-24,"Friday","Morning","","","Aria","","","","","","","",""
2025-10-24,"Friday","Morning","","","Aurora","","","","","","","",""
2025-10-24,"Friday","Morning","","","LB","","","","","","","",""
