"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-04-06,"Monday","Morning","","","Aria","","","","","","","",""
2026-04-06,"Monday","Morning","","","Aurora","","","","","","","",""
2026-04-06,"Monday","Morning","","","LB","","","","","","","",""
2026-04-06,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-04-06,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-04-06,"Monday","Afternoon","","","LB","","","","","","","",""
2026-04-07,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-04-07,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-04-07,"Tuesday","Morning","","","LB","","","","","","","",""
2026-04-07,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-04-07,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-07,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-04-08,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-04-08,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-04-08,"Wednesday","Morning","","","LB","","","","","","","",""
2026-04-08,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-04-08,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-04-08,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-04-09,"Thursday","Morning","","","Aria","","","","","","","",""
2026-04-09,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-04-09,"Thursday","Morning","","","LB","","","","","","","",""
2026-04-09,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-04-09,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-04-09,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-04-10,"Friday","Morning","","","Aria","","","","","","","",""
2026-04-10,"Friday","Morning","","","Aurora","","","","","","","",""
2026-04-10,"Friday","Morning","","","LB","","","","","","","",""
2026-04-10,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-04-10,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-04-10,"Friday","Afternoon","","","LB","","","","","","","",""
