"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-02-02,"Monday","Morning","","","Aria","","","","","","","",""
2026-02-02,"Monday","Morning","","","Aurora","","","","","","","",""
2026-02-02,"Monday","Morning","","","LB","","","","","","","",""
2026-02-02,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-02-02,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-02-02,"Monday","Afternoon","","","LB","","","","","","","",""
2026-02-03,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-02-03,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-02-03,"Tuesday","Morning","","","LB","","","","","","","",""
2026-02-03,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-02-03,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-02-03,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-02-04,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-02-04,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-02-04,"Wednesday","Morning","","","LB","","","","","","","",""
2026-02-04,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-02-04,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-02-04,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-02-05,"Thursday","Morning","","","Aria","","","","","","","",""
2026-02-05,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-02-05,"Thursday","Morning","","","LB","","","","","","","",""
2026-02-05,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-02-05,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-02-05,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-02-06,"Friday","Morning","","","Aria","","","","","","","",""
2026-02-06,"Friday","Morning","","","Aurora","","","","","","","",""
2026-02-06,"Friday","Morning","","","LB","","","","","","","",""
2026-02-06,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-02-06,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-02-06,"Friday","Afternoon","","","LB","","","","","","","",""
