"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-01-26,"Monday","Morning","","","Aria","","","","","","","",""
2026-01-26,"Monday","Morning","","","Aurora","","","","","","","",""
2026-01-26,"Monday","Morning","","","LB","","","","","","","",""
2026-01-26,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-01-26,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-01-26,"Monday","Afternoon","","","LB","","","","","","","",""
2026-01-27,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-01-27,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-01-27,"Tuesday","Morning","","","LB","","","","","","","",""
2026-01-27,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-01-27,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-27,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-01-28,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-01-28,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-01-28,"Wednesday","Morning","","","LB","","","","","","","",""
2026-01-28,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-01-28,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-01-28,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-01-29,"Thursday","Morning","","","Aria","","","","","","","",""
2026-01-29,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-01-29,"Thursday","Morning","","","LB","","","","","","","",""
2026-01-29,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-01-29,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-01-29,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-01-30,"Friday","Morning","","","Aria","","","","","","","",""
2026-01-30,"Friday","Morning","","","Aurora","","","","","","","",""
2026-01-30,"Friday","Morning","","","LB","","","","","","","",""
2026-01-30,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-01-30,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-01-30,"Friday","Afternoon","","","LB","","","","","","","",""
