"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-11-17,"Monday","Morning","","","Aria","","","","","","","",""
2025-11-17,"Monday","Morning","","","Aurora","","","","","","","",""
2025-11-17,"Monday","Morning","","","LB","","","","","","","",""
2025-11-17,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-11-17,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-11-17,"Monday","Afternoon","","","LB","","","","","","","",""
2025-11-18,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-11-18,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-11-18,"Tuesday","Morning","","","LB","","","","","","","",""
2025-11-18,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-11-18,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-18,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-11-19,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-11-19,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-11-19,"Wednesday","Morning","","","LB","","","","","","","",""
2025-11-19,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-11-19,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-11-19,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-11-20,"Thursday","Morning","","","Aria","","","","","","","",""
2025-11-20,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-11-20,"Thursday","Morning","","","LB","","","","","","","",""
2025-11-20,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-11-20,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-11-20,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-11-21,"Friday","Morning","","","Aria","","","","","","","",""
2025-11-21,"Friday","Morning","","","Aurora","","","","","","","",""
2025-11-21,"Friday","Morning","","","LB","","","","","","","",""
2025-11-21,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-11-21,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-11-21,"Friday","Afternoon","","","LB","","","","","","","",""
