Date,Instrument,Timepoint,Type,Day1,Day2,Day3,Comments
2016-01-05,Two,,Media,0,0,0,
2016-01-05,Two,,Sheath,0,0,0,
2016-01-12,Two,,Media,0,0,0,
2016-01-12,Two,,Sheath,0,0,0,
2016-01-27,One,,Media,0,0,0,
2016-01-27,One,,Sheath,0,0,0,
2016-01-27,Two,,Media,0,0,0,
2016-01-27,Two,,Sheath,0,0,0,
2016-08-03,One,,Media,0,0,0,
2016-08-03,One,,Sheath,0,0,0,
2016-08-03,Two,,Media,0,0,0,
2016-08-03,Two,,Sheath,0,0,0,
2016-08-16,One,,Media,0,0,0,
2016-08-16,One,,Sheath,0,0,0,
2016-08-16,Two,,Media,0,0,0,
2016-08-16,Two,,Sheath,0,0,0,
2016-09-13,One,,Media,0,0,0,
2016-09-13,One,,Sheath,0,0,0,
2016-09-13,Two,,Media,0,0,0,
2016-09-13,Two,,Sheath,0,0,0,
2016-09-14,One,,Media,0,0,,
2016-09-14,One,,Sheath,0,0,,
2016-09-16,Two,,Media,0,0,0,
2016-09-16,Two,,Sheath,0,0,0,
2016-09-22,Two,,Media,0,0,0,
2016-09-22,Two,,Sheath,0,0,0,
2016-09-27,One,,Media,0,0,0,
2016-09-27,One,,Sheath,0,0,0,
2016-09-27,Two,,Media,0,0,0,
2016-09-27,Two,,Sheath,0,0,0,
2016-09-28,One,,Media,0,0,,
2016-09-28,Two,,Sheath,0,0,,
2016-10-03,One,,Media,0,0,0,
2016-10-03,One,,Sheath,0,0,0,
2016-10-03,Two,,Media,0,0,0,
2016-10-03,Two,,Sheath,0,0,0,
2016-10-05,One,,Media,0,0,,
2016-10-05,One,,Sheath,0,0,,
2016-10-07,Two,,Media,0,0,0,
2016-10-07,Two,,Sheath,0,0,0,
2016-10-11,Two,,Media,0,0,0,
2016-10-11,Two,,Sheath,0,0,0,
2016-10-12,One,,Media,0,0,0,
2016-10-12,One,,Sheath,0,0,0,
2016-10-14,One,,Media,0,0,0,
2016-10-14,One,,Sheath,0,0,0,
2016-10-14,Two,,Media,0,0,0,
2016-10-14,Two,,Sheath,0,0,0,
2016-10-19,One,,Media,0,0,,
2016-10-19,One,,Sheath,0,0,,
2016-10-19,Two,,Media,0,0,,
2016-10-19,Two,,Sheath,0,0,,
2016-10-21,One,,Media,0,0,0,
2016-10-21,One,,Sheath,0,0,0,
2016-10-21,Two,,Media,0,0,0,
2016-10-21,Two,,Sheath,0,0,0,
2016-10-25,Two,,Media,0,0,0,
2016-10-25,Two,,Sheath,0,0,0,
2016-10-28,Two,,Media,0,0,0,
2016-10-28,Two,,Sheath,0,0,0,
2016-11-03,Two,,Media,0,0,0,
2016-11-03,Two,,Sheath,0,0,0,
2016-11-07,Two,,Media,0,0,,
2016-11-07,Two,,Sheath,0,0,,
2016-11-11,Two,,Sheath,0,0,0,
2016-11-11,Two,,Media,0,0,0,
2016-11-14,Two,,Sheath,0,0,,
2016-11-14,Two,,Media,0,0,,
2016-11-16,,,Sheath,0,0,0,
2016-11-16,,,Media,0,0,0,
2016-11-28,Two,,Sheath,1,1,1,
2016-11-28,Two,,Media,1,1,1,
2016-11-30,Two,,Sheath,1,1,1,
2016-11-30,Two,,Media,1,1,1,
2016-12-14,Two,,Sheath,,,,
2016-12-14,Two,,Media,,,,
